Wavelength_1,Abs_1,Wavelength_2,Abs_2,Wavelength_3,Abs_3,Wavelength_4,Abs_4
1500,0.004147544,1500,0.004137718,1500,0.005952864,1500,0.012077134
1499,0.004362317,1499,0.00433102,1499,0.006136658,1499,0.012276959
1498,0.004511461,1498,0.004459727,1498,0.00630716,1498,0.012400052
1497,0.004189074,1497,0.004218348,1497,0.006017899,1497,0.012140271
1496,0.004269635,1496,0.004241429,1496,0.006074702,1496,0.012225117
1495,0.004287777,1495,0.004211578,1495,0.006043964,1495,0.012386921
1494,0.004335073,1494,0.004505811,1494,0.006336867,1494,0.012464382
1493,0.004235992,1493,0.00429834,1493,0.006078954,1493,0.012261408
1492,0.004452404,1492,0.004475105,1492,0.006225958,1492,0.012446134
1491,0.004674628,1491,0.004635538,1491,0.006434537,1491,0.012704019
1490,0.004476988,1490,0.004398716,1490,0.006275565,1490,0.01243388
1489,0.004311621,1489,0.004352591,1489,0.006175857,1489,0.012364281
1488,0.004663822,1488,0.004631666,1488,0.006434589,1488,0.012683921
1487,0.004889688,1487,0.004829873,1487,0.006651153,1487,0.012878986
1486,0.004558754,1486,0.004576621,1486,0.006403405,1486,0.012613936
1485,0.004431064,1485,0.004406273,1485,0.00620839,1485,0.012487772
1484,0.004823775,1484,0.004844008,1484,0.00662295,1484,0.012915306
1483,0.004866651,1483,0.004875081,1483,0.006684538,1483,0.012931227
1482,0.004721573,1482,0.004672273,1482,0.006496334,1482,0.012746587
1481,0.004767946,1481,0.004736646,1481,0.006523031,1481,0.012857868
1480,0.00515072,1480,0.005099381,1480,0.006902147,1480,0.013236365
1479,0.0050921,1479,0.005106322,1479,0.006897097,1479,0.01318593
1478,0.004727513,1478,0.004675596,1478,0.006507133,1478,0.012831898
1477,0.004873065,1477,0.004893615,1477,0.006664034,1477,0.013005851
1476,0.005112818,1476,0.005115542,1476,0.006881238,1476,0.01316896
1475,0.005101738,1475,0.005073661,1475,0.006855966,1475,0.013251257
1474,0.004808672,1474,0.004827936,1474,0.006656568,1474,0.012983313
1473,0.005007981,1473,0.004965038,1473,0.006759042,1473,0.013142331
1472,0.005446114,1472,0.005425669,1472,0.007204657,1472,0.013586694
1471,0.005458854,1471,0.005490442,1471,0.007234794,1471,0.013608596
1470,0.005178985,1470,0.005194336,1470,0.006992552,1470,0.013353591
1469,0.005177413,1469,0.005175815,1469,0.006926371,1469,0.013339497
1468,0.005453375,1468,0.005459561,1468,0.007217291,1468,0.013606566
1467,0.005414214,1467,0.005368977,1467,0.007203315,1467,0.013659562
1466,0.005234499,1466,0.005221949,1466,0.007065715,1466,0.013461556
1465,0.005167878,1465,0.005131362,1465,0.006939206,1465,0.013395851
1464,0.005419824,1464,0.005377311,1464,0.007147023,1464,0.013622486
1463,0.005660901,1463,0.005661373,1463,0.007453601,1463,0.013899297
1462,0.005380063,1462,0.005417936,1462,0.007217343,1462,0.013632663
1461,0.005198318,1461,0.005213539,1461,0.006994077,1461,0.013532827
1460,0.005611311,1460,0.005523238,1460,0.007311262,1460,0.013822596
1459,0.005698641,1459,0.005673332,1459,0.00744894,1459,0.013918248
1458,0.005587685,1458,0.005584827,1458,0.007379845,1458,0.013852607
1457,0.005454293,1457,0.005415918,1457,0.007248797,1457,0.01372456
1456,0.005624003,1456,0.005578167,1456,0.007345513,1456,0.013918675
1455,0.005989553,1455,0.005947195,1455,0.007724268,1455,0.014254496
1454,0.005895579,1454,0.005933234,1454,0.007700421,1454,0.014181662
1453,0.005506879,1453,0.005547595,1453,0.007330191,1453,0.013894754
1452,0.005758287,1452,0.005685056,1452,0.007462686,1452,0.014078357
1451,0.00616819,1451,0.006035091,1451,0.007813184,1451,0.014420643
1450,0.00629999,1450,0.006296129,1450,0.008074343,1450,0.014672741
1449,0.006033805,1449,0.006109039,1449,0.007898928,1449,0.014447644
1448,0.005783418,1448,0.00572445,1448,0.007527,1448,0.014112906
